,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13
ABCC13,0.007622352456380387,-0.014607993371278835,-0.017671474044538876,0.03715375343350102,0.0032784897024090392,-0.03767212848932354,-0.21512665507756074,-0.008591099934117193,0.055368635151155005,0.39789437246082543,0.0012209282019265582,-0.05092201911812989,0.029824180034906767
ABCC2,0.04847925002829924,-0.024180692581395706,0.037813367374816026,0.17290547504683235,-0.011244377689615748,-0.0016762569130242878,-0.00823351841326656,-0.07923377362478562,-0.04055925512337151,0.20235033933953595,0.0488704386119621,-0.0429249525310115,-0.03937884420262098
ABCC3,-0.06838886086669814,-0.28710578486304333,-0.13375829099598424,-0.10319689222013029,-0.022811066154237072,0.0053305176151752865,-0.0752964854970011,0.03797548767971107,0.42742337386038515,0.048181337432071064,0.04405112171820698,0.05152628865554129,-0.07141515955372027
ABCC4,0.16695701993473594,0.12820651943260433,0.11659200907561953,-0.012550647244087668,-0.26855989276782927,0.010777834501548227,-0.009389347880771485,-0.0451958340737758,-0.07346582838404728,0.06747808436818224,0.009998792133519813,-0.3170909699577441,-0.053032458646125574
ABCC5,0.01020147181576621,0.04819288445218428,-0.06569531921332644,0.0036179169104033734,0.09019767753838098,0.00025899913803717695,0.426059749520938,0.21625663649750193,0.06624891204820438,0.05421421512293492,-0.03155260839211663,-0.08886972393629303,-0.04073013473938248
ABCC5-AS1,-0.004319020148778197,-0.006456515448035663,-0.2316680844521148,0.01865879545637728,-0.0003314835527854114,0.011488109932872484,0.0043850346156480945,0.09409051009573687,-0.04774546913270813,0.005547394246143726,-0.03856317984288147,-0.036902404710600106,-0.02861308239859387
ABCC6,0.17577095843462942,-0.41270868694321966,0.003674080048879289,-0.37828306264003053,0.005437735400945261,0.01086986397372997,-0.082736224969982,-0.0030080853017511525,-0.03401110361631112,0.10781425776146887,0.03250145949229629,-0.3146062396291876,-0.09829614626546297
ABCC6P1,0.16462096647284313,-0.3022683834573367,0.00511838274112624,-0.17166430963280047,-0.15217311882546805,0.04790452389066382,-0.045059555729919605,-0.0623848429834074,-0.14022954332508128,0.20247865886165176,0.024447226911663913,-0.5482061055255851,-0.0810582991224392
ABCC6P2,0.11889982222282669,-0.2870652559885826,-0.15970744592268762,-0.2577597446183715,-0.006159132229749192,-0.0046955558198025285,-0.262577310941209,-0.008127897966361016,-0.4373303719887128,-0.015075893832065207,0.1020886555396756,-0.04791488335236926,-0.015608917689097853
ABCC8,0.22703238241168416,-0.2077125829093891,-0.09350193898918098,-0.3948376104497148,0.1539799745813008,0.02830726309552321,-0.03434259474053623,0.03340639480758714,0.0007171878870950543,-0.009431180420151617,0.031332399936297814,-0.0736044866828488,-0.0942111470606128
ABCC9,0.1418182790763908,-0.0010748858637563937,-0.0019227635258523364,0.16602492367328392,-0.6572506945849577,0.007555468466632775,0.01427897765932935,-0.0006441881477139373,1.2276007934150595,0.022610752937983078,0.014966741069870466,0.011684958518868138,-0.03268506734930791
