,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13
ACAT1,0.22862413517554336,-0.3465031952108641,-0.25184022204868967,0.0005569321355243367,-0.204203029968229,0.002412390887361177,0.21387607879929654,-0.02705293686608734,-0.018397228323221163,-0.010949251277534208,-0.04005527577361563,-0.05625858975150211,-0.0289121729440108
ACAT2,0.017953941518883115,0.13275305199714277,-0.5153887336135118,0.2466419095492699,-0.07203241891318855,-0.0026947442645921865,0.1106436719730696,-0.05239118970825994,-0.010735909291860461,-0.022554502462651962,-0.024405705058864875,-0.14711145349320107,0.005678835294673893
ACBD3,-0.04304320545835179,-0.026850301776963664,-0.5130320005923135,-0.0175651939621497,-0.18414614515819516,-0.06007603144342025,0.0219401423305609,0.03026840312377856,-0.036635194277256804,-0.013349688560335804,-0.006596671176251943,-0.18985728588461262,0.12831407068526673
ACBD5,-0.2668351929780169,-0.15507588336360845,0.18299428705732138,-0.01814890314988055,-0.04709722389919666,0.03923319164645058,-0.3061778070329765,0.045709773356636216,-0.07583686907242622,0.0077054220514638895,0.06787364851786905,0.013788260720969978,0.03799980033773088
ACBD6,0.02329133896707852,-0.006518599212600294,0.02645610848882493,-0.0790010072229172,0.19558921679885757,-0.05875407664790942,0.06125861380760961,0.03551545393099493,0.022814914433833895,-0.11442633983130408,0.03673476808848579,0.08627030165270967,0.14006556231379813
ACE,-0.02936054807215102,0.09182145295867096,0.09085378456128453,-0.015696990854208635,0.027131280911086263,-0.040534440693653875,-0.11752868407718824,-0.0968040687421387,0.007399400312662513,0.16216098540572654,-0.024871837078604932,-0.056403979746653864,-0.026267583112210238
ACIN1,0.010135070796083898,-0.36245450487434927,-0.1844822654829997,0.2957069761521327,-0.011562242619251643,0.04418004028427845,0.2936743058184477,0.02817346357423284,-0.007025462220309124,0.019689833204241627,0.03211134314249109,0.002560737627557664,0.11164334662997745
ACLY,-0.005024761475465363,0.0009880479975932074,0.13673420489470772,-0.028967898233352687,-0.1218752348092881,0.013188457977835076,0.21040999603207336,-0.029403705821831997,0.08942867231622492,-0.046043081122846635,0.005441053558066012,-0.1450532010073153,-0.03784124415569283
ACO1,0.21617134722062478,-0.00760310767801309,-0.47346277546042126,-0.05675394497282217,-0.04072098984279327,-0.12693153772200494,0.039907802458125356,-0.19798282458774832,-0.07002821222362329,-0.0013849918868871537,-0.01438558363184363,-0.07960464979404595,-0.04224615319557247
ACO2,0.036182161153644664,-0.19427637732851222,-0.2689997414144044,0.09688319545895555,-0.00856813983319841,0.03155173626329463,0.041667373095469015,-0.03381339770326722,-0.06841803666060668,0.04281212013376668,-0.06989577362527415,0.05095801022080178,-0.09557004927590936
ACOT1,0.09911245564286941,-0.023729349080839575,-0.046375030942786714,0.18446377028594982,0.0005031684334305517,0.08647197102334775,0.06843391046028269,0.027042325310382573,-0.05184982390810758,0.041513143284562654,0.017825341426150235,-0.009898721511872984,-0.02613653205420269
ACOT11,-0.27420007977714284,0.029261738416265892,-0.2155616652774363,0.024223182967033224,0.029249172151922097,0.011567077320567025,-0.3767664249978731,0.04348914440889778,-0.010967609925776686,0.07982932124309272,-0.0012076377201330913,0.0756217494962949,-0.0014508965308600247
ACOT13,0.018011287098172398,0.034937541823324494,-0.4546557154012843,0.07315369809741347,-0.0419990912918017,-0.017838703750270475,0.2932877827612656,-0.07359589906260859,-0.03140447856400894,0.0031802808773399678,-0.013679428027278081,0.023966440022278216,-0.10690613303295866
ACOT7,-0.27705309287727353,-0.00835047474891862,-0.016851008256171893,0.3018806446414556,-0.011559799384867722,-0.0037815475632640722,0.011545461011491866,-0.020085184482993568,-0.16264867271431444,0.043974958357704506,0.015270000542627126,-0.3824899503688291,-0.004016847538413671
ACOT8,-0.29615742343725304,0.005232094098745914,-0.002218627044694113,0.051297475027605864,-0.005058517504589891,0.019905477483565158,-0.01570213908810952,-0.005855656816942917,0.07363990366588233,0.021361205536943026,0.007748067274262188,-0.13983132921650263,-0.0073352272941303335
ACOT9,-0.15216958221260232,0.06297912788556723,-0.028308711487394896,0.020817238170637724,0.050904654181162114,-0.018068787691593206,-0.2759984985533377,0.02321575364160585,-0.025376670469832097,0.0437278010134698,0.012096465671165239,-0.030149505576305587,-0.30819944910215685
