,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13
GATA3,-0.012837577332488583,-0.13313667058485243,0.0009997503343906811,0.0057913336005339855,-0.028853922076758923,0.5230626672266071,-0.2675224729112287,-0.28837992626330905,-0.007869331377105538,0.042308841216884746,0.09097239238806995,-0.1327800410914834,-0.004023869018703899
CELF2,-0.013564293979149813,-0.1303623919634581,0.0008076195658882865,0.0057247947211364406,-0.029184461752963436,0.5261519773483955,-0.2639398409669611,-0.2760679104532221,-0.007357068284987915,0.03674925572646139,0.09409593517044629,-0.1396206132466078,-0.001890855402773219
USP6NL,-0.03358693734836505,-0.15852066086582509,-0.005806391424401523,0.006806089969381087,-0.03743767127902162,0.5974325526306989,-0.28043469605391536,-0.2088549417222175,-0.013904151560960523,0.04004741430400497,0.02698049054740484,-0.09640231587188287,-0.021732033505764182
ECHDC3,-0.03358693734836505,-0.15852066086582509,-0.005806391424401523,0.006806089969381087,-0.03743767127902162,0.5974325526306989,-0.28043469605391536,-0.2088549417222175,-0.013904151560960523,0.04004741430400497,0.02698049054740484,-0.09640231587188287,-0.021732033505764182
PROSER2,-0.014399563621868956,-0.13243032863162282,0.0003822571502352594,0.005784853066831405,-0.02973797672907597,0.5313522179709015,-0.26550871857550223,-0.27236268214286263,-0.007796732850953687,0.037119742594986856,0.0882832980228107,-0.13726543866745813,-0.002979442801086049
UPF2,-0.014399563621868956,-0.13243032863162282,0.0003822571502352594,0.005784853066831405,-0.02973797672907597,0.5313522179709015,-0.26550871857550223,-0.27236268214286263,-0.007796732850953687,0.037119742594986856,0.0882832980228107,-0.13726543866745813,-0.002979442801086049
DHTKD1,-0.014399563621868956,-0.13243032863162282,0.0003822571502352594,0.005784853066831405,-0.02973797672907597,0.5313522179709015,-0.26550871857550223,-0.27236268214286263,-0.007796732850953687,0.037119742594986856,0.0882832980228107,-0.13726543866745813,-0.002979442801086049
SEC61A2,-0.014399563621868956,-0.13243032863162282,0.0003822571502352594,0.005784853066831405,-0.02973797672907597,0.5313522179709015,-0.26550871857550223,-0.27236268214286263,-0.007796732850953687,0.037119742594986856,0.0882832980228107,-0.13726543866745813,-0.002979442801086049
NUDT5,-0.014399563621868956,-0.13243032863162282,0.0003822571502352594,0.005784853066831405,-0.02973797672907597,0.5313522179709015,-0.26550871857550223,-0.27236268214286263,-0.007796732850953687,0.037119742594986856,0.0882832980228107,-0.13726543866745813,-0.002979442801086049
CDC123,-0.014399563621868956,-0.13243032863162282,0.0003822571502352594,0.005784853066831405,-0.02973797672907597,0.5313522179709015,-0.26550871857550223,-0.27236268214286263,-0.007796732850953687,0.037119742594986856,0.0882832980228107,-0.13726543866745813,-0.002979442801086049
CAMK1D,-0.01436193773731546,-0.13227380315828358,0.00040820322606859353,0.005801764428502381,-0.029753673909277512,0.5313175990530553,-0.26551648979905645,-0.27242555070642765,-0.007743488164573374,0.037031312447817696,0.08813951814759129,-0.13739427601804907,-0.00300440544143012
CCDC3,-0.0033345544385962695,-0.14068523386868292,0.00399100306244002,0.005049423889960535,-0.03399942327947125,0.5402207043402211,-0.24170648348581406,-0.3139101301095873,-0.012991271819815242,0.059882397777768576,0.10758320194588668,-0.0582330905451128,0.06079646191994352
OPTN,-0.002327983566572359,-0.14043986400461417,0.004387132786657869,0.00482538827200621,-0.0338684789235074,0.5379668611487833,-0.235285642815922,-0.31451989384326295,-0.013931966406443085,0.06261083931391863,0.10805088159313364,-0.04910956304279693,0.08055379392113708
MCM10,-0.00227458540570353,-0.14062293871136375,0.004424892204506276,0.004789934909434871,-0.03355640525653187,0.5379302813538553,-0.23516517714976487,-0.31443949843221775,-0.014070235967612425,0.062459092419195186,0.107991510638306,-0.04903488133279347,0.08010167817766584
UCMA,-0.00227458540570353,-0.14062293871136375,0.004424892204506276,0.004789934909434871,-0.03355640525653187,0.5379302813538553,-0.23516517714976487,-0.31443949843221775,-0.014070235967612425,0.062459092419195186,0.107991510638306,-0.04903488133279347,0.08010167817766584
PHYH,-0.00227458540570353,-0.14062293871136375,0.004424892204506276,0.004789934909434871,-0.03355640525653187,0.5379302813538553,-0.23516517714976487,-0.31443949843221775,-0.014070235967612425,0.062459092419195186,0.107991510638306,-0.04903488133279347,0.08010167817766584
SEPHS1,-0.002314346359082018,-0.14063346703571308,0.004600697364036239,0.004873595061871836,-0.03375236932257244,0.5378388598532002,-0.23509116658557547,-0.31452123481301614,-0.01408707145534449,0.06290578638654522,0.10793090455754865,-0.0492030450904012,0.07992328988960219
